,0
799,324
800,60
801,193
802,181
803,60
804,373
805,378
806,134
807,331
808,324
809,381
810,358
811,399
812,388
813,166
814,306
815,381
816,14
817,399
818,381
819,308
820,399
821,126
822,341
823,118
824,177
825,106
826,366
827,247
828,229
829,181
830,361
831,97
832,222
833,217
834,378
835,215
836,381
837,248
838,397
839,381
840,233
841,324
842,167
843,265
844,210
845,60
846,204
847,366
848,207
849,190
850,236
851,117
852,353
853,366
854,269
855,193
856,76
857,60
858,304
859,158
860,381
861,66
862,324
863,142
864,87
865,255
866,142
867,151
868,324
869,142
870,85
871,123
872,381
873,112
874,158
875,144
876,399
877,306
878,217
879,120
880,399
881,126
882,341
883,306
884,361
885,96
886,306
887,147
888,78
889,324
890,398
891,139
892,306
893,392
894,58
895,317
896,329
897,319
898,306
899,60
900,66
901,306
902,207
903,89
904,306
905,129
906,56
907,123
908,117
909,279
910,165
911,254
912,248
913,378
914,254
915,86
916,158
917,361
918,259
919,123
920,60
921,341
922,378
923,117
924,363
925,261
926,361
927,275
928,165
929,84
930,114
931,210
932,207
933,337
934,366
935,398
936,11
937,215
938,361
939,268
940,378
941,361
942,381
943,378
944,293
945,310
946,317
947,133
948,279
949,378
950,247
951,276
952,184
953,285
954,371
955,222
956,361
957,44
958,255
959,207
960,193
961,103
962,115
963,109
964,306
965,244
966,265
967,310
968,244
969,170
970,306
971,398
972,128
973,306
974,144
975,170
976,378
977,14
978,366
979,181
980,207
981,109
982,181
983,177
984,224
985,310
986,130
987,152
988,215
989,117
990,368
991,230
992,217
993,245
994,165
995,269
996,106
997,123
998,133
999,212
